['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['166', 'Superman Adv', '16', '$1.95', 'DC', '17,813']
['167', 'Creeper', '3', '$2.50', 'DC', '17,481']
['168', 'Hellblazer', '122', '$2.25', 'DC', '17,465']
['169', 'Adventures In The DC Universe', '11', '$1.95', 'DC', '17,265']
['170', 'House Of Secrets', '17', '$2.50', 'DC', '17,165']
['171', 'Aliens Kidnapped', '1', '$2.50', 'Dark Horse', '17,155']
['172', 'Inferno', '4', '$2.50', 'DC', '17,097']
['173', 'Lobo', '48', '$2.25', 'DC', '16,970']
['174', 'Superboy & The Ravers', '18', '$1.95', 'DC', '16,586']
['175', 'Supreme', '56', '$2.99', 'Awesome', '16,397']
['176', 'Pantha', '1', '$3.50', 'Harris', '16,165']
['177', 'Sandman Mystery Theatre', '59', '$2.50', 'DC', '16,002']
['178', 'Predator Nemesis', '1', '$2.95', 'Dark Horse', '16,002']
['179', 'Painkiller Jane', '7', '$2.95', 'Event', '15,686']
['180', 'Spider-Man Manga', '4', '$2.99', 'Marvel', '15,397']
['181', 'Sovereign Seven', '31', '$2.25', 'DC', '15,312']
['182', 'Spider-Man Manga', '5', '$2.99', 'Marvel', '15,307']
['183', 'Transmetropolitan', '6', '$2.50', 'DC', '15,107']
['184', 'Lobo Fragtastic Voyage', '', '$5.95', 'DC', '14,907']
['185', 'Young Heroes In Love', '9', '$1.95', 'DC', '14,570']
['186', 'Ghost', '32', '$2.95', 'Dark Horse', '14,470']
['187', 'Paul Chadwicks Concrete Strang?', '1', '$2.95', 'Dark Horse', '14,396']
['188', 'Omen Save The Chosen', '3', '$2.95', 'Chaos', '14,370']
['189', 'Hawk & Dove', '4', '$2.50', 'DC', '14,323']
['190', 'Ticks Big Yule Log Special 98', '', '$3.50', 'New England', '13,975']
['191', 'Darque Passages', '1', '$2.50', 'Acclaim', '13,870']
['192', 'More Than Mortal', '3', '$2.95', 'Liar', '13,849']
['193', 'Terminal City Aerial Graffiti', '4', '$2.50', 'DC', '13,560']
['194', 'Steel', '47', '$2.50', 'DC', '13,381']
['195', 'Major Bummer', '7', '$2.50', 'DC', '13,259']
['196', 'Gunsmith Cats Goldie Vs Misty', '2', '$2.95', 'Dark Horse', '13,033']
['197', 'Oh My Goddess Special Youre So Bad', '', '$3.95', 'Dark Horse', '12,796']
['198', 'Michael Moorcocks Multiverse', '4', '$2.50', 'DC', '12,486']
['199', 'Astro City Vol. 2 3D', '', '$4.95', 'Image', '12,417']
['200', '2020 Visions', '10', '$2.25', 'DC', '12,117']
['201', 'Battlestar Galactica', '1', '$2.99', 'Realm', '11,949']
['202', 'Blade Of The Immortal Dreamsong', '6', '$2.95', 'Dark Horse', '11,328']
['203', 'Ranma ½ Pt Six', '13', '$2.95', 'Viz', '11,317']
['204', 'X-O Manowar', '15', '$2.50', 'Acclaim', '11,038']
['205', 'DV8 Voyager Pack', '14', '$3.50', 'Image', '10,822']
['206', 'Poision Elves', '30', '$2.50', 'Sirius', '10,775']
['207', 'Scud The Disposable Assassin', '19', '$2.95', 'Fireman', '10,707']
['208', 'Solar Hell On Earth', '4', '$2.50', 'Acclaim', '10,696']
['209', 'Elfquest', '19', '$4.95', 'Warp', '10,617']
['210', 'Cerebus', '225', '$2.25', 'Aardvark-Vana', '10,507']
['211', 'Sergio Aragones Louder Than Wo?', '6', '$2.95', 'Dark Horse', '10,217']
['212', 'Quantum & Woody', '11', '$2.50', 'Acclaim', '10,122']
['213', 'Desperadoes', '4', '$2.95', 'Image', '9,949']
['214', 'Essential vertigo the Sandman', '19', '$1.95', 'DC', '9,906']
['215', 'Kelley Jones The Hammer', '3', '$2.95', 'Dark Horse', '9,759']
['216', 'Turok Tales Of The Lost Land', '', '$2.50', 'Acclaim', '9,606']
['217', 'Trinity Angels', '10', '$2.50', 'Acclaim', '9,549']
['218', 'Edgar Rice Burroughs Tarzan Tarz?', '1', '$2.95', 'Dark Horse', '9,317']
['219', 'Zombieworld home For The Holidays', '', '$2.95', 'Dark Horse', '9,175']
['220', 'Challengers Of The Unknown', '13', '$2.25', 'DC', '9,127']
['221', 'Sonic The Hedgehog', '56', '$1.75', 'Archie', '9,122']
['222', '7th System', '1', '$2.95', 'Sirius', '8,748']
['223', 'Razor Embrace The Spawning', '', '$3.00', 'London Night', '8,659']
['224', 'Drakuun The Revenge Of Gustav', '5', '$2.95', 'Dark Horse', '8,401']
['225', 'Magnus Robot Fighter', '12', '$2.50', 'Acclaim', '8,212']
['226', 'Doctor Tomorrow', '8', '$2.50', 'Acclaim', '8,196']
['227', 'Elfquest Worldpool Special', '2', '$2.95', 'Warp', '8,185']
['228', 'Shadowman', '14', '$2.50', 'Acclaim', '8,075']
['229', 'Pulp Vol. 2', '1', '$5.95', 'Viz', '8,033']
['230', 'Cutie Honey', '1', '$2.95', 'Ironcat', '8,033']
['231', 'Battle Angel Alita Pt Eight', '7', '$2.95', 'Viz', '7,896']
['232', 'Inu Yasha A Feudal Fairy Tale', '9', '$3.25', 'Viz', '7,790']
['233', 'Marvel Adventures', '11', '$1.50', 'Marvel', '7,780']
['234', 'Bloodshot', '10', '$2.50', 'Acclaim', '7,733']
['235', 'Teenage Mutant Ninja Turtles', '15', '$2.95', 'Image', '7,727']
['236', 'Pinky And The Brain', '20', '$1.95', 'DC', '7,717']
['237', 'Troublemakers', '13', '$2.50', 'Acclaim', '7,554']
['238', 'Sonic Super Special', '4', '$2.25', 'Archie', '7,306']
['239', 'Lost', '2', '$2.95', 'Chaos', '6,990']
['240', 'Knuckles', '10', '$1.75', 'Archie', '6,911']
['241', 'No Need For Tenchi Pt Four', '1', '$2.95', 'Viz', '6,869']
['242', 'Sabrina The Teenage Witch', '11', '$1.95', 'Archie', '6,859']
['243', 'Serpentina', '1', '$2.95', 'Lightning', '6,832']
['244', 'Neon Genesis Evangelion', '4', '$2.95', 'Viz', '6,764']
