['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['133', 'Mighty Avengers', '1', '$3.99', 'Marvel', '15,097']
['134', 'Amazing Spider-Man', '539', '$2.99', 'Marvel', '14,878']
['135', 'Marvel Illustrated Jungle Book', '2.99', '$2.99', 'Marvel', '14,450']
['136', 'Firestorm The Nuclear Man', '35', '$2.99', 'DC', '14,259']
['137', 'Wetworks', '8', '$2.99', 'DC', '14,175']
['138', 'White Tiger', '5', '$2.99', 'Marvel', '13,607']
['139', 'Legion of Super Heroes in the 31st\nCentury', '1', '$2.25', 'DC', '13,506']
['140', 'Invincible', '40', '$2.99', 'Image', '13,230']
['141', 'Marvel Spotlight Spider-Man', '2.99', '$2.99', 'Marvel', '13,196']
['142', 'Madman Atomic Comics', '1', '$2.99', 'Image', '13,140']
['143', 'Connor Hawke Dragons Blood', '6', '$2.99', 'DC', '13,135']
['144', 'Hellblazer', '231', '$2.99', 'DC', '13,129']
['145', 'DMZ', '18', '$2.99', 'DC', '13,106']
['146', 'Stormwatch Ph.D', '6', '$2.99', 'DC', '13,095']
['147', 'Battlestar Galactica Cylon\nApocalypse', '2', '$3.50', 'Dynamic', '12,477']
['148', 'Raise The Dead', '1', '$3.50', 'Dynamic', '12,465']
['149', 'Star Trek Klingons Blood Will Tell', '1', '$3.99', 'IDW', '12,134']
['150', 'Transformers Spotlight KUP', '', '$3.99', 'IDW', '12,117']
['151', 'Transformers Spotlight Target 2006', '1', '$3.99', 'IDW', '11,425']
['152', 'Battlestar Galactica Zarek', '4', '$3.50', 'Dynamic', '11,341']
['153', 'Army @ Love', '2', '$2.99', 'DC', '11,183']
['154', 'Highlander', '6', '$2.99', 'Dynamic', '10,807']
['155', 'Wisdom', '5', '$3.99', 'Marvel', '10,762']
['156', 'Star Trek: The Next Generation\nSpace Between', '3', '$3.99', 'IDW', '10,509']
['157', 'Welcome To Tranquility', '5', '$2.99', 'DC', '10,396']
['158', 'Loveless', '17', '$2.99', 'DC', '10,323']
['159', 'Sensational Spider-Man', '35', '$2.99', 'Marvel', '10,110']
['160', 'Sandman Mystery Theatre Sleep of\nReason', '5', '$2.99', 'DC', '10,025']
['161', 'Iron Man', '15', '$2.99', 'Marvel', '9,975']
['162', 'Girls', '24', '$2.99', 'Image', '9,699']
['163', 'Star Trek: The Next Generation\nSpace Between', '4', '$3.99', 'IDW', '9,637']
['164', 'Friendly Neighborhood Spider-Man', '17 2nd Ptg Var', '$2.99', 'Marvel', '9,474']
['165', 'Justice League Unltd', '32', '$2.25', 'DC', '9,317']
['166', 'Simpsons Comics', '129', '$2.99', 'Bongo', '9,187']
['167', 'Scalped', '4', '$2.99', 'DC', '9,154']
['168', 'Teen Titans Go', '42', '$2.25', 'DC', '9,041']
['169', 'American Virgin', '13', '$2.99', 'DC', '8,951']
['170', 'Exterminators', '16', '$2.99', 'DC', '8,749']
['171', 'Friday The 13th', '5', '$2.99', 'DC', '8,715']
['172', 'Justice League of America', '1', '$3.99', 'DC', '8,530']
['173', 'Nightmare of Elm Street', '7', '$2.99', 'DC', '7,855']
['174', 'Red Menace', '6', '$2.99', 'DC', '7,692']
['175', 'Forgotten Realms Streams', '2 Cvr A', '$5.50', "Devil's Due", '7,636']
['176', 'Ghost in the Shell 1.5 Human Error\nProcessor', '7', '$2.99', 'Dark Horse', '7,557']
['177', 'Batman Strikes', '32', '$2.25', 'DC', '7,287']
['178', 'Testament', '17', '$2.99', 'DC', '7,186']
['179', 'Texas Chainsaw Massacre', '6', '$2.99', 'DC', '7,163']
['180', 'Marvel Adventures: Avengers', '12', '$2.99', 'Marvel', '7,085']
['181', 'Crossing Midnight', '6', '$2.99', 'DC', '7,028']
['182', 'Bart Simpson Comics', '35', '$2.99', 'Bongo', '6,983']
['183', 'Sonic The Hedgehog', '174', '$2.25', 'Archie', '6,955']
['184', 'Fallen Angel', '14', '$3.99', 'IDW', '6,781']
['185', 'Fallen Angel', '15', '$3.99', 'IDW', '6,595']
['186', 'Wolfskin', '3', '$3.99', 'Avatar', '6,517']
['187', '30 Days of Night Spreading Disease', '5', '$3.99', 'IDW', '6,500']
['188', 'Marvel Adventures: Spider-Man', '26', '$2.99', 'Marvel', '6,472']
['189', 'Spider-Man Loves Mary Jane', '17', '$2.99', 'Marvel', '6,326']
['190', 'Lady Death Blacklands', '4', '$3.99', 'Avatar', '6,140']
['191', 'Drain', '3', '$2.99', 'Image', '6,005']
['192', 'Usagi Yojimbo', '102', '$2.99', 'Dark Horse', '5,943']
['193', 'Hulk & Power Pack', '2', '$2.99', 'Marvel', '5,938']
['194', 'Rush City', '6', '$2.99', 'DC', '5,853']
['195', 'Optic Nerve', '11', '$3.95', 'Drawn & Quarterly', '5,825']
['196', 'Spider-Man Poster Book', '5.99', '$5.99', 'Marvel', '5,690']
['197', 'Fall of Cthulhu', '1', '$3.99', 'Boom', '5,634']
['198', 'Ninja Scroll', '8', '$2.99', 'DC', '5,623']
['199', 'Spider-Man Family', '1', '$4.99', 'Marvel', '5,285']
['200', 'Sonic X', '18', '$2.25', 'Archie', '5,240']
['201', 'Dark Tower Gunslinger Born', '2', '$3.99', 'Marvel', '5,223']
['202', 'Tmnt Movie Adaptation', '1', '$4.99', 'Mirage', '5,201']
['203', 'Vampirella Quarterly Spr 07 Reg Cvrs', '1', '$4.95', 'Harris', '5,184']
['204', 'Night of Living Dead Just Girl', '2.99', '$2.99', 'Avatar', '5,122']
['205', 'Dynamo 5', '2', '$3.50', 'Image', '4,942']
['206', 'Orson Scott Cards Wyrms', '3', '$2.99', 'Marvel', '4,897']
['207', 'After The Cape', '2', '$2.99', 'Image', '4,897']
['208', 'Wormwood Gentleman Corpse', '7', '$3.99', 'IDW', '4,852']
