['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['130', 'DC Universe Online Legends', '10', '$2.99', 'DC', '18,178']
['131', 'Herc', '4', '$2.99', 'Marvel', '18,106']
['132', 'Heroes For Hire', '8', '$2.99', 'Marvel', '18,029']
['133', 'Punishermax', '14', '$3.99', 'Marvel', '17,965']
['134', 'Zatanna', '14', '$2.99', 'DC', '17,856']
['135', 'Dark Tower Gunslinger Battle of Tull', '1', '$3.99', 'Marvel', '17,667']
['136', 'Star Wars Old Republic', '1', '$3.50', 'Dark Horse', '17,642']
['137', 'Power Girl', '25', '$2.99', 'DC', '17,251']
['138', 'JSA 80 Page Giant 2011', '1', '$5.99', 'DC', '17,242']
['139', 'American Vampire Survival of the\nFittest', '1', '$2.99', 'DC', '17,160']
['140', 'Mystery Men', '1', '$2.99', 'Marvel', '16,657']
['141', 'Batman And The Outsiders', '40', '$2.99', 'DC', '16,265']
['142', 'Star Wars Jedi Dark Side', '2', '$2.99', 'Dark Horse', '16,081']
['143', 'Deadpoolmax', '9', '$3.99', 'Marvel', '15,802']
['144', 'American Vampire', '16', '$2.99', 'DC', '15,705']
['145', 'Invincible', '80', '$2.99', 'Image', '15,563']
['146', 'Supreme Power', '1', '$3.99', 'Marvel', '15,251']
['147', 'Rocketeer Adventures', '2', '$3.99', 'IDW', '14,912']
['148', 'Criminal Last of Innocent', '1', '$3.50', 'Marvel', '14,849']
['149', 'Stand No Mans Land', '5', '$3.99', 'Marvel', '14,480']
['150', 'Spawn', '208', '$2.99', 'Image', '14,468']
['151', 'Haunt', '16', '$2.99', 'Image', '14,360']
['152', 'Warlord of Mars', '7', '$3.99', 'Dynamic Forces', '14,038']
['153', 'Marvel Zombies Supreme', '5', '$3.99', 'Marvel', '13,962']
['154', 'Vampirella', '6', '$3.99', 'Dynamic Forces', '13,649']
['155', 'Vampirella', '7', '$3.99', 'Dynamic Forces', '13,645']
['156', 'Warlord of Mars Dejah Thoris', '4', '$3.99', 'Dynamic Forces', '13,584']
['157', 'Conan Island of No Return', '1', '$3.50', 'Dark Horse', '13,547']
['158', 'Godzilla Gangsters &\nGoliaths', '1', '$3.99', 'IDW', '13,292']
['159', 'Zombies Christmas Carol', '2', '$3.99', 'Marvel', '13,231']
['160', 'Mystery Men', '2', '$2.99', 'Marvel', '12,993']
['161', 'Ka-Zar', '1', '$2.99', 'Marvel', '12,805']
['162', 'Cinderella Fables Are Forever', '5', '$2.99', 'DC', '12,799']
['163', 'Witch Doctor', '1', '$2.99', 'Image', '12,592']
['164', 'Conan Road of Kings', '6', '$3.50', 'Dark Horse', '12,523']
['165', 'Danger Girl Army of Darkness', '2', '$3.99', 'Dynamic Forces', '12,417']
['166', 'Zombies Christmas Carol', '2', '$3.99', 'Marvel', '12,164']
['167', 'Sonic The Hedgehog', '225', '$2.99', 'Archie', '11,980']
['168', 'All Winners Squad Band of Heroes', '1', '$2.99', 'Marvel', '11,836']
['169', 'G.I. Joe Vol. 2 Ongoing', '2', '$3.99', 'IDW', '11,640']
['170', 'Walking Dead Survivors Guide', '3', '$2.99', 'Image', '11,479']
['171', 'Bprd Dead Remembered', '3', '$3.50', 'Dark Horse', '11,418']
['172', 'Morning Glories', '10', '$2.99', 'Image', '11,385']
['173', 'Dark Horse Presents', '2', '$7.99', 'Dark Horse', '11,315']
['174', 'Namor First Mutant', '11', '$2.99', 'Marvel', '11,281']
['175', 'Skaar King of Savage Land', '4', '$2.99', 'Marvel', '11,090']
['176', 'Unwritten', '26', '$2.99', 'DC', '10,979']
['177', 'Captain America First Vengeance', '3', '$2.99', 'Marvel', '10,660']
['178', 'Ruse', '4', '$2.99', 'Marvel', '10,532']
['179', 'Green Hornet', '16', '$3.99', 'Dynamic Forces', '10,396']
['180', 'Artifacts', '8', '$3.99', 'Image', '10,343']
['181', 'Captain America First Vengeance', '4', '$2.99', 'Marvel', '10,322']
['182', 'Izombie', '14', '$2.99', 'DC', '10,320']
['183', 'Snake Eyes Ongoing', '2', '$3.99', 'IDW', '10,246']
['184', 'Transformers Ongoing', '20', '$3.99', 'IDW', '10,232']
['185', 'Jonah Hex', '68', '$2.99', 'DC', '10,224']
['186', 'Cobra Ongoing', '2', '$3.99', 'IDW', '10,128']
['187', 'G.I. Joe A Real American Hero', '167', '$3.99', 'IDW', '10,118']
['188', 'Static Shock Special', '1', '$2.99', 'DC', '9,976']
['189', 'Vampirella Scarlet Legion', '2', '$3.99', 'Dynamic Forces', '9,818']
['190', 'Irredeemable', '26', '$3.99', 'Boom', '9,784']
['191', 'Wolverine Hercules Myths Monsters\nAnd Mutants', '4', '$2.99', 'Marvel', '9,696']
['192', 'Crossed Psychopath', '3', '$3.99', 'Avatar', '9,655']
['193', 'Lady Death', '6', '$3.99', 'Avatar', '9,563']
['194', 'Guild Bladezz One Shot', '1 Kerschl Cvr', '$3.50', 'Dark Horse', '9,490']
['195', 'Hellblazer', '280', '$2.99', 'DC', '9,329']
['196', 'Sonic The Hedgehog', '226', '$2.99', 'Archie', '9,228']
['197', 'Dungeons And Dragons', '8', '$3.99', 'IDW', '9,226']
['198', 'Goon', '34', '$3.50', 'Dark Horse', '9,203']
['199', '50 Girls 50', '1', '$2.99', 'Image', '9,121']
['200', 'Witchblade', '145', '$3.99', 'Image', '8,996']
['201', 'Young Justice', '5', '$2.99', 'DC', '8,988']
['202', 'Thunder Agents', '8', '$2.99', 'DC', '8,954']
['203', 'Super Dinosaur', '3', '$2.99', 'Image', '8,943']
['204', 'Sigil', '4', '$2.99', 'Marvel', '8,930']
['205', 'Flashpoint', '1', '$3.99', 'DC', '8,864']
['206', 'Witchfinder Lost & Gone\nForever', '5', '$2.99', 'Dark Horse', '8,777']
['207', 'Ozma of Oz', '7', '$3.99', 'Marvel', '8,672']
['208', 'Hack Slash', '5 Cvr A Frison', '$3.50', 'Image', '8,666']
['209', 'Weird Worlds', '6', '$3.99', 'DC', '8,536']
