['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['214', 'Transformers Monstrosity', '1', '$3.99', 'IDW', '8,562']
['215', 'Helheim', '4', '$3.99', 'Oni', '8,432']
['216', 'Rachel Rising', '17', '$3.99', 'Abstract', '8,336']
['217', 'Baltimore The Inquisitor One Shot', '\n', '$3.50', 'Dark Horse', '8,309']
['218', 'Judge Dredd Year One', '3', '$3.99', 'IDW', '8,251']
['219', 'Danger Girl Trinity', '3', '$3.99', 'IDW', '8,144']
['220', 'Black Beetle', '4', '$3.99', 'Dark Horse', '8,096']
['221', 'Game of Thrones', '15', '$3.99', 'Dynamic Forces', '8,081']
['222', 'Malevolent Mr Burns', '1', '$3.99', 'Bongo', '8,048']
['223', 'Suicide Risk', '2', '$3.99', 'Boom', '7,914']
['224', 'Bravest Warriors', '9', '$3.99', 'Boom', '7,850']
['225', 'X', '2', '$2.99', 'Dark Horse', '7,797']
['226', 'Grimm Fairy Tales Wonderland', '12', '$2.99', 'Zenescope', '7,765']
['227', 'Six Gun Gorilla', '1', '$3.99', 'Boom', '7,730']
['228', 'Transformers Prime Beast Hunters', '2', '$3.99', 'IDW', '7,642']
['229', 'Ghostbusters', '5', '$3.99', 'IDW', '7,620']
['230', 'Crossed Badlands', '30', '$3.99', 'Avatar', '7,573']
['231', 'G.I. Joe A Real American Hero', '191', '$3.99', 'IDW', '7,508']
['232', 'G.I. Joe Cobra Files', '3', '$3.99', 'IDW', '7,407']
['233', 'Witchblade', '167', '$2.99', 'Image', '7,329']
['234', 'Crossed Badlands', '31', '$3.99', 'Avatar', '7,327']
['235', 'Mind The Gap', '11', '$2.99', 'Image', '7,301']
['236', 'Dejah Thoris & Green Men of Mars', '4', '$3.99', 'Dynamic Forces', '7,233']
['237', 'Grimm Fairy Tales Robyn Hood Wanted', '2', '$2.99', 'Zenescope', '7,116']
['238', 'Mouse Guard Legends of the Guard Vol. 2', '1', '$3.50', 'Archaia', '7,116']
['239', 'Grimm Fairy Tales Wonderland Down Rabbit\xa0Hole', '2', '$2.99', 'Zenescope', '7,115']
['240', 'Spongebob Comics', '21', '$2.99', 'United Plankton', '7,043']
['241', 'Simpsons Comics', '203', '$2.99', 'Bongo', '6,930']
['242', 'Doomsday.1', '2', '$3.99', 'IDW', '6,647']
['243', 'Crow Curare', '1', '$3.99', 'IDW', '6,607']
['244', 'Warlord of Mars Dejah Thoris', '26', '$3.99', 'Dynamic Forces', '6,593']
['245', 'Edgar Allan Poes Fall of the House of Usher', '2', '$3.99', 'Dark Horse', '6,556']
['246', 'Breath of Bones A Tale of the Golem', '1', '$3.99', 'Dark Horse', '6,465']
['247', 'Polarity', '3', '$3.99', 'Boom', '6,436']
['248', 'Vampirella Strikes', '6', '$3.99', 'Dynamic Forces', '6,365']
['249', 'Clone', '8', '$2.99', 'Image', '6,343']
['250', 'Evil Ernie', '6', '$3.99', 'Dynamic Forces', '6,299']
['251', 'Captain Midnight', '0', '$2.99', 'Dark Horse', '6,290']
['252', 'Grimm Fairy Tales Grimm Fairy Tales', '86', '$2.99', 'Zenescope', '6,231']
