['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Fallen Son:\nDeath of Captain America: Captain America', '$2.99', 'Marvel', '169,972']
['167', 'Legion of Super Heroes in the 31st\nCentury', '2', '$2.25', 'DC', '11,117']
['168', 'Darkness Level 3', '', '$2.99', 'Image', '11,069']
['169', 'Transformers Spotlight Target 2006', '2', '$3.99', 'IDW', '10,789']
['170', 'Star Trek Klingons Blood Will Tell', '2', '$3.99', 'IDW', '10,413']
['171', 'Army @ Love', '3', '$2.99', 'DC', '10,308']
['172', 'Welcome To Tranquility', '6', '$2.99', 'DC', '10,276']
['173', 'Wonder Man', '5', '$2.99', 'Marvel', '10,276']
['174', 'Highlander', '7', '$2.99', 'Dynamic', '10,252']
['175', 'Wisdom', '6', '$3.99', 'Marvel', '10,092']
['176', 'G.I. Joe Special Missions Brazil', '', '$5.50', "Devil's Due", '10,084']
['177', 'Simpsons Comics', '130', '$2.99', 'Bongo', '9,475']
['178', 'Tarot Witch of Black Rose', '44', '$2.95', 'Broadsword', '9,395']
['179', 'Dark Xena', '2', '$3.50', 'Dynamic', '9,291']
['180', 'Star Trek Next Generation Space\nBetween', '5', '$3.99', 'IDW', '9,259']
['181', 'Justice League Unltd', '33', '$2.25', 'DC', '9,227']
['182', 'G.I. Joe Dreadnoks Declassified', '3', '$5.50', "Devil's Due", '9,211']
['183', 'Strangers in Paradise', '89', '$2.99', 'Abstract', '9,075']
['184', 'Scalped', '5', '$2.99', 'DC', '9,019']
['185', 'Fantastic Four', '544', '$2.99', 'Marvel', '8,963']
['186', 'Teen Titans Go', '43', '$2.25', 'DC', '8,915']
['187', 'Chucky', '1', '$3.50', "Devil's Due", '8,859']
['188', 'Exterminators', '17', '$2.99', 'DC', '8,811']
['189', 'American Virgin', '14', '$2.99', 'DC', '8,803']
['190', 'Witchblade Takeru Manga', '3', '$2.99', 'Image', '8,755']
['191', 'American Virgin', '15', '$2.99', 'DC', '8,610']
['192', 'Friday The 13th', '6', '$2.99', 'DC', '8,602']
['193', 'Raise The Dead', '2', '$3.50', 'Dynamic', '8,546']
['194', 'City of Others', '2', '$2.99', 'Dark Horse', '8,338']
['195', 'Marvel Spotlight\nFantastic Four Silver Surfer', '$2.99', 'Marvel', '8,258']
['196', 'Garth Ennis Chronicles of Wormwood', '3', '$3.99', 'Avatar', '7,689']
['197', 'Futurama Comics', '31', '$2.99', 'Bongo', '7,601']
['198', '30 Days of Night Eben &\nStella', '1', '$3.99', 'IDW', '7,513']
['199', 'Marvel Adventures Avengers', '13', '$2.99', 'Marvel', '7,249']
['200', 'Batman Strikes', '33', '$2.25', 'DC', '7,233']
['201', 'Deadman', '9', '$2.99', 'DC', '7,209']
['202', 'Sonic The Hedgehog', '175', '$2.25', 'Archie', '7,169']
['203', 'Warren Ellis Black Gas 2', '2', '$3.99', 'Avatar', '7,145']
['204', 'Testament', '18', '$2.99', 'DC', '6,960']
['205', 'Samurai Heaven & Earth Vol.\n2', '4', '$2.99', 'Dark Horse', '6,904']
['206', 'Freshmen Vol. 2', '4', '$2.99', 'Image', '6,888']
['207', 'Crossing Midnight', '7', '$2.99', 'DC', '6,864']
['208', 'Marvel Adventures Spider-Man', '27', '$2.99', 'Marvel', '6,816']
['209', 'Hack Slash', '1', '$3.50', "Devil's Due", '6,784']
['210', 'Gamekeeper', '2', '$2.99', 'Virgin', '6,712']
['211', 'Deadman', '10', '$2.99', 'DC', '6,688']
['212', 'Fallen Angel Idw', '16', '$3.99', 'IDW', '6,616']
['213', 'Captain America', '25', '$3.99', 'Marvel', '6,536']
['214', 'Spider-Man Loves Mary Jane', '18', '$2.99', 'Marvel', '6,488']
['215', 'Lady Death Shi', '1', '$3.99', 'Avatar', '6,456']
['216', 'Warhammer 40k Damnation Crusade', '3', '$2.99', 'Boom', '6,432']
['217', 'Dark Tower Gunslinger Born', '1', '$3.99', 'Marvel', '6,384']
['218', 'Grimm Fairy Tales', '14 (Res)', '$2.99', 'Zenescope', '6,296']
['219', 'Elephantmen', '9', '$2.99', 'Image', '6,264']
['220', 'Local', '9', '$2.99', 'Oni', '6,215']
['221', 'Magician Apprentice', '7', '$2.99', 'Marvel', '6,191']
['222', 'Dynamo 5', '3', '$3.50', 'Image', '6,183']
['223', 'Usagi Yojimbo', '103', '$2.99', 'Dark Horse', '5,991']
['224', 'Warhammer 40k Damnation Crusade', '4', '$2.99', 'Boom', '5,903']
['225', 'Fallen Son Death\nof Captain America Avengers', '$2.99', 'Marvel', '5,871']
['226', 'Chucky', '2', '$3.50', "Devil's Due", '5,815']
['227', 'Gargoyles', '4', '$3.50', 'Slave Labor', '5,775']
['228', 'Dark Tower Gunslinger Born', '3', '$3.99', 'Marvel', '5,759']
['229', 'Hulk & Power Pack', '3', '$2.99', 'Marvel', '5,591']
['230', 'Ninja Scroll', '9', '$2.99', 'DC', '5,487']
['231', 'Sonic X', '19', '$2.25', 'Archie', '5,198']
['232', 'After The Cape', '3', '$2.99', 'Image', '5,182']
['233', 'Gutsville', '1', '$2.99', 'Image', '5,102']
['234', 'Occult Crimes Taskforce', '4', '$2.99', 'Image', '5,102']
['235', 'Sonic X', '20', '$2.25', 'Archie', '5,038']
['236', 'Bomb Queen III', '3', '$3.50', 'Image', '4,814']
['237', 'Fallen Son Death\nof Captain America Wolverine', '$2.99', 'Marvel', '4,814']
['238', 'Marvel Adventures Fantastic Four', '24', '$2.99', 'Marvel', '4,806']
['239', 'Loaded Bible 2 Blood of Christ (One\nShot)', '', '$4.99', 'Image', '4,742']
['240', 'Fall of Cthulhu', '2', '$3.99', 'Boom', '4,710']
['241', 'Ray Harryhausen Presents Wrath of\nthe Titans', '1', '$3.50', 'Bluewater', '4,670']
['242', 'Fall of Cthulhu', '3', '$3.99', 'Boom', '4,638']
['243', 'Frank Frazettas Death Dealer', '1', '$3.99', 'Image', '4,606']
['244', "Orson Scott Card's Wyrms", '4', '$2.99', 'Marvel', '4,565']
