['180', 'Big Daddy Danger', '3', '$2.95', 'DC', '6,725']
['181', 'Holy Terror', '2', '$2.95', 'Image', '6,458']
['182', 'Sonic The Hedgehog', '116', '$1.99', 'Archie', '6,338']
['183', 'Super Manga Blast', '26', '$5.99', 'Dark Horse', '5,890']
['184', 'Dragonball Part 5', '5', '$2.95', 'Viz', '5,757']
['185', 'Cannon Exaxxion Stage 2 (2 Of 5)', '10', '$3.50', 'Dark Horse', '5,467']
['186', 'Ranma 1/2 Part 11', '8', '$2.95', 'Viz', '5,382']
['187', 'Shi Illustrated Warrior', '4', '$2.99', 'Crusade', '5,201']
['188', 'Blue Monday Dead Mans Party', '', '$2.95', 'Oni', '5,128']
['189', 'Battle Angel Alita Last Order Part 1', '2', '$2.95', 'Viz', '5,128']
['190', 'Terry Moores Paradise Too', '10', '$2.95', 'Abstract', '5,043']
['191', 'Hate Annual', '3', '$3.95', 'Fantagraphics', '5,019']
['192', 'Dungeons & Dragons Black\n& White', '4', '$2.99', 'Kenzer', '4,995']
['193', 'Banzai Girl', '2', '$2.95', 'Sirius', '4,983']
['194', 'Witchblade Botp Cvr', '55', '$3.00', 'Image', '4,922']
['195', 'G.I. Joe 2nd Ptg', '1 (O/A)', '$2.95', 'Image', '4,765']
['196', 'Dogwitch', '1', '$2.95', 'Sirius', '4,753']
['197', 'Gold Digger', '36', '$2.99', 'Antarctic', '4,511']
['198', 'All New Tenchi Muyo Part 2', '1', '$2.95', 'Viz', '4,402']
['199', 'Gun Fu', '1', '$3.50', 'Axiom', '4,257']
['200', 'Cardcaptor Sakura', '33', '$2.99', 'Tokyopop', '4,245']
['201', 'Savage Dragon Hellboy Coll Ed', '', '$5.95', 'Image', '4,173']
['202', 'Dork Tower', '21', '$2.99', 'Dork Storm', '4,064']
['203', 'Castle Waiting', '16', '$2.95', 'Oni', '3,894']
['204', 'American Splendor Unsung Hero', '3', '$3.99', 'Dark Horse', '3,834']
['205', 'Hopeless Savages Ground Zero', '4', '$2.95', 'Oni', '3,810']
['206', 'Dexters Laboratory', '32', '$2.25', 'DC', '3,677']
['207', 'Knights of the Dinner Table\nIllustrated', '15', '$2.99', 'Kenzer', '3,677']
['208', 'Inu Yasha Part 7', '3', '$2.95', 'Viz', '3,653']
['209', 'Savage Dragonbert Full Frontal\nNerdity', '', '$5.95', 'Image', '3,653']
['210', 'Looney Tunes', '95', '$2.25', 'DC', '3,592']
['211', 'Archie', '529', '$1.99', 'Archie', '3,568']
['212', 'Gloom Cookie', '14', '$2.95', 'Slave Labor', '3,556']
['213', 'Gundam Wing Last Outpost', '4', '$2.99', 'Tokyopop', '3,459']
['214', 'PVP', '7', '$2.99', 'Dork Storm', '3,411']
['215', 'Tick & Artie', '2', '$3.95', 'New England', '3,399']
['216', 'Boneyard', '8', '$2.95', 'NBM', '3,326']
['217', 'Tim Vigils Webwitch', '3', '$3.50', 'Avatar', '3,302']
['218', 'Betty & Veronica', '181', '$1.99', 'Archie', '3,290']
['219', 'Ripleys Believe It Or Not Human\nWonders', '3', '$2.99', 'Dark Horse', '3,266']
['220', 'Kissing Chaos Nonstop Beauty', '1', '$2.95', 'Oni', '3,266']
['221', 'Ennis & Mccreas Dicks 2', '2', '$3.50', 'Avatar', '3,241']
['222', 'Incal', '13', '$2.95', 'Humanoids', '3,229']
['223', 'Top Cow Classics Tomb Raider\nWitchblade', '1', '$2.99', 'Image', '3,205']
['224', 'How To Draw Manga', '19', '$4.95', 'Antarctic', '3,193']
['225', 'Betty & Veronica Double\nDigest', '110', '$3.29', 'Archie', '3,108']
['226', 'Betty', '119', '$1.99', 'Archie', '3,096']
['227', 'Sabrina Vol. 2', '38', '$1.99', 'Archie', '3,096']
['228', 'Warren Ellis Strange Killings Body\nOrchard', '4', '$3.50', 'Avatar', '3,084']
['229', 'Veronica', '133', '$1.99', 'Archie', '2,987']
['230', 'Betty', '118', '$1.99', 'Archie', '2,963']
['231', 'Archie Double Digest', '138', '$3.29', 'Archie', '2,963']
['232', 'Archie & Friends', '63', '$1.99', 'Archie', '2,891']
['233', 'Ninja High School', '99', '$2.99', 'Antarctic', '2,891']
['234', 'Neon Genesis Evangelion Part 7', '6', '$3.50', 'Viz', '2,866']
['235', 'Holiday Fun Digest', '7', '$2.19', 'Archie', '2,806']
['236', 'Ceres Celestial Legend Part 4', '1', '$3.50', 'Viz', '2,794']
['237', 'Bastard', '11', '$3.95', 'Viz', '2,782']
['238', 'Archie & Friends', '64', '$1.99', 'Archie', '2,770']
['239', 'Pals N Gals Double Digest', '71', '$3.29', 'Archie', '2,685']
['240', 'Betty & Veronica Digest', '134', '$2.19', 'Archie', '2,685']
['241', 'Betty & Veronica Spectacular', '57', '$1.99', 'Archie', '2,649']
['242', 'Goon', '1', '$2.95', 'Albatross', '2,612']
['243', 'Spacehack', '1', '$2.99', 'Kenzer', '2,588']
['244', 'Jugheads Double Digest', '90', '$3.29', 'Archie', '2,528']
['245', 'Cici Mini-Series', '3', '$2.50', 'Spilled Milk', '2,334']
['246', 'One Plus One', '2', '$2.95', 'Oni', '2,322']
['247', 'Tuesday', '1', '$2.95', 'Kim-Rehr', '2,274']
['248', 'Big O Part 2', '4', '$3.50', 'Viz', '2,250']
['249', 'Louis Riel', '8', '$2.95', 'Drawn & Quarterly', '2,237']
['250', 'Laugh Digest', '179', '$2.19', 'Archie', '2,225']
['251', 'Jughead W/Archie Digest', '179', '$2.19', 'Archie', '2,165']
['252', 'Battle Pope Wrath Of God', '3', '$3.50', 'Funk-O-Tron', '2,165']
['253', 'Mutant Texas Tales Of Sheriff Ida\nRed', '4', '$2.95', 'Oni', '2,153']
['254', 'Genus', '56', '$3.50', 'Radio', '2,092']
['255', 'Zak Raven Esq', '1', '$3.50', 'Avatar', '2,056']
['256', 'Johnny The Homicidal Maniac', '1', '$2.95', 'Slave Labor', '2,020']
['257', 'Johnny The Homicidal Maniac', '2', '$2.95', 'Slave Labor', '1,971']
['258', 'Jack The Lantern', '0', '$2.99', 'Castle Rain', '1,947']
['259', 'Neon Genesis Evangelion Part 7 Coll\nEd', '6', '$3.50', 'Viz', '1,935']
['260', 'Halo & Sprocket', '3', '$2.95', 'Slave Labor', '1,899']
['261', 'Charm School', '6', '$2.95', 'Slave Labor', '1,838']
['262', 'Luftwaffe 1946', '2', '$5.95', 'Antarctic', '1,802']
['263', 'Snapdragons', '2', '$2.99', 'Dork Storm', '1,778']
['264', 'Project Arms Part 1', '2', '$3.25', 'Viz', '1,766']
['265', 'Menage A Trois', '1', '$3.50', 'Fantagraphics', '1,754']
['266', 'Killbox Primer', '1', '$2.99', 'Antarctic', '1,754']
['267', 'DF G.I. Joe Frontline Alt Cvr', '1', '$6.99', 'Dynamic Forces', '1,717']
['268', 'Ennis & Mccreas Dicks 2', '2', '$3.95', 'Avatar', '1,717']
['269', 'Pop Gun War', '5', '$2.50', 'Abstract', '1,717']
['270', 'Silent Mobius Part 11 Blood', '4', '$2.95', 'Viz', '1,705']
['271', 'A G Super Erotic Anthology', '5', '$4.99', 'Icarus', '1,681']
['272', 'Zendra Vol. 2', '4', '$2.95', 'Penny Farthing', '1,681']
['273', 'Atlas', '2', '$3.50', 'Avatar', '1,669']
['274', 'Tigress Hidden Lands', '1', '$3.50', 'Basement', '1,633']
['275', 'Furrlough', '118', '$2.99', 'Radio', '1,596']
['276', 'Vagabond', '12', '$4.95', 'Viz', '1,536']
['277', 'I Dream Of Jeannie Tricks Or Treats\nAnnual', '1', '$3.50', 'Airwave', '1,512']
['278', 'Likewise', '1', '$4.95', 'Slave Labor', '1,500']
['279', 'Jungle Fantasy Preview', '', '$1.99', 'Avatar', '1,488']
['280', 'Blowjob', '4', '$3.50', 'Fantagraphics', '1,451']
['281', 'Furry Ninja High School', '2', '$4.99', 'Shanda', '1,427']
['282', 'Arsenic Lullabies Oct 2002', '3', '$2.65', 'A Silent', '1,403']
['283', 'Warrior Nun Areala', '11', '$2.99', 'Antarctic', '1,391']
['284', 'Squee', '3', '$2.95', 'Slave Labor', '1,379']
['285', 'Decoy', '4', '$2.95', 'Penny Farthing', '1,367']
['286', 'Call Of Duty Brotherhood Marvel\nMust Have', '1', '$2.99', 'Marvel', '1,355']
['287', 'Heartcore', '1', '$2.95', 'Ironcat', '1,342']
['288', 'Tigress Tales', '5', '$2.95', 'Basement', '1,330']
['289', 'Patrick The Wolf\nBoy Another Halloween Sp', '$2.95', 'Blind Wolf', '1,318']
['290', 'Elizabeth Bathory', '1', '$3.50', 'Fantagraphics', '1,318']
['291', 'Ogenki Clinic Vol. 9', '7', '$2.95', 'Ironcat', '1,294']
['292', 'Lenore', '9', '$2.95', 'Slave Labor', '1,258']
['293', 'Warren Ellis Strange Killings Body\nOrchard', '4', '$3.95', 'Avatar', '1,246']
['294', 'Zoids', '9', '$5.95', 'Viz', '1,246']
['295', 'Vampire Yui Vol. 5', '2', '$2.95', 'Ironcat', '1,222']
['296', 'Sandwalk Adventures', '5', '$2.95', 'Active Synapse', '1,209']
['297', 'Empty Zone Conversations W/Dead', '3', '$2.95', 'Sirius', '1,209']
['298', 'Green Ginger', '1', '$3.50', 'Radio', '1,173']
['299', 'Warhammer Monthly', '60', '$3.50', 'Games Workshop', '1,125']
