['185', 'Cerebus', '280', '$2.25', 'Aardvark-Vanaheim', '7,029']
['186', 'Oni Press Color Sp 2002', '', '$5.95', 'Oni', '6,995']
['187', 'Girl Genius', '7 (Res)', '$3.95', 'Studio Foglio', '6,764']
['188', 'Spaceman One-Shot', '', '$2.95', 'Oni', '6,764']
['189', 'Alone In Dark One-Shot Special', '', '$4.95', 'Image', '6,589']
['190', 'Dungeons & Dragons Black\n& White', '1', '$2.99', 'Kenzer', '6,330']
['191', 'Shi Illustrated Warrior', '2', '$2.99', 'Crusade', '6,307']
['192', 'Sonic The Hedgehog', '113', '$1.99', 'Archie', '6,172']
['193', 'Dragonball Part 5', '2', '$2.95', 'Viz', '6,121']
['194', 'Dwelling', '1', '$4.99', 'Chaos', '6,026']
['195', 'Super Manga Blast', '24', '$5.99', 'Dark Horse', '5,535']
['196', 'Ranma 1/2 Part 11', '5', '$2.95', 'Viz', '5,501']
['197', 'Terry Moores Paradise Too', '8', '$2.95', 'Abstract', '5,389']
['198', 'Terry Moores Paradise Too', '9', '$2.95', 'Abstract', '5,372']
['199', 'Poison Elves', '72', '$2.95', 'Sirius', '5,332']
['200', 'Creed Utopiate', '4', '$2.95', 'Image', '5,220']
['201', 'Fort! Prophet of the Unexplained', '2', '$2.99', 'Dark Horse', '5,062']
['202', 'Black Tide Vol. 2', '1', '$3.50', 'Avatar', '4,876']
['203', 'Madman Picture Exhibition', '4', '$3.95', 'AAA Pop', '4,684']
['204', 'Gundam Wing G Unit', '1', '$2.99', 'Tokyopop', '4,673']
['205', 'Gold Digger', '34', '$2.99', 'Antarctic', '4,577']
['206', 'Cardcaptor Sakura', '30', '$2.99', 'Tokyopop', '4,380']
['207', 'All New Tenchi Muyo Part 1', '3', '$2.95', 'Viz', '4,352']
['208', 'Knights of the Dinner Table\nEverknights', '1', '$2.99', 'Kenzer', '4,335']
['209', 'Eight Legged Freaks', '', '$6.95', 'DC', '4,284']
['210', 'Robo Dojo', '6', '$2.95', 'DC', '4,160']
['211', 'Maximum Force Special', '1', '$2.99', 'Atomeka', '4,154']
['212', 'Castle Waiting', '15', '$2.95', 'Olio', '4,081']
['213', 'Strange Killings Body Orchard', '1', '$3.50', 'Avatar', '4,058']
['214', 'Hopeless Savages Ground Zero', '2', '$2.95', 'Oni', '4,030']
['215', 'DF Battle of the Planets Alt Cvr', '1', '$6.99', 'Dynamic Forces', '3,957']
['216', 'Gloom Cookie', '13', '$2.95', 'Slave Labor', '3,872']
['217', 'Looney Tunes', '92', '$1.99', 'DC', '3,839']
['218', 'Inu Yasha Part 6', '15', '$2.95', 'Viz', '3,788']
['219', 'Archie', '526', '$1.99', 'Archie', '3,698']
['220', 'Archie', '525', '$1.99', 'Archie', '3,545']
['221', 'How To Draw Manga', '17', '$4.95', 'Antarctic', '3,472']
['222', 'Betty & Veronica', '178', '$1.99', 'Archie', '3,433']
['223', 'Cavewoman He Said She Said One-Shot', '', '$3.50', 'Basement', '3,343']
['224', 'Boneyard', '7', '$2.95', 'NBM', '3,309']
['225', 'Betty', '115', '$1.99', 'Archie', '3,297']
['226', 'Betty & Veronica Double\nDigest', '108', '$3.29', 'Archie', '3,292']
['227', 'Veronica', '129', '$1.99', 'Archie', '3,241']
['228', 'Archie & Friends', '60', '$1.99', 'Archie', '3,185']
['229', 'Ceres Celestial Legend Part 3', '2', '$3.50', 'Viz', '3,095']
['230', 'Veronica', '130', '$1.99', 'Archie', '3,083']
['231', 'Bastard', '8', '$3.95', 'Viz', '3,072']
['232', 'Neon Genesis Evangelion Part 7', '3', '$2.95', 'Viz', '3,061']
['233', 'Archie Double Digest', '136', '$3.29', 'Archie', '3,061']
['234', 'Ninja High School', '97', '$2.99', 'Antarctic', '3,016']
['235', 'Sabrina Vol. 2', '35', '$1.99', 'Archie', '2,965']
['236', 'Marc Hempels Naked Brain', '1', '$2.95', 'Insight', '2,954']
['237', 'Sidekicks Substitute One-Shot', '', '$2.95', 'Oni', '2,948']
['238', 'Housewives At Play', '9', '$3.50', 'Fantagraphics', '2,903']
['239', 'Cartoon Cartoons', '12', '$1.99', 'DC', '2,886']
['240', 'Nodwick', '16', '$2.99', 'Dork Storm', '2,841']
['241', 'Big O Part 2', '1', '$3.50', 'Viz', '2,779']
['242', 'Pals N Gals Double Digest', '69', '$3.29', 'Archie', '2,739']
['243', 'Archie Digest', '191', '$2.19', 'Archie', '2,734']
['244', 'Dungeon', '1', '$2.95', 'NBM', '2,723']
['245', 'Jughead', '146', '$1.99', 'Archie', '2,531']
['246', 'Weasel', '5', '$4.95', 'Fantagraphics', '2,497']
['247', 'Sect', '1', '$2.95', 'Powerhouse', '2,469']
['248', 'Archies Weird Mysteries', '23', '$1.99', 'Archie', '2,469']
['249', 'Batman/Green Arrow Poison Tomorrow', '', '$5.95', 'DC', '2,413']
['250', 'Mutant Texas Tales Of Sheriff Ida\nRed', '2', '$2.95', 'Oni', '2,413']
['251', 'Snapdragons', '1', '$2.99', 'Dork Storm', '2,379']
['252', 'Laugh Digest', '177', '$2.19', 'Archie', '2,339']
['253', 'S&M University', '6', '$3.50', 'Fantagraphics', '2,255']
['254', 'Zendra Vol. 2', '1', '$2.95', 'Penny Farthing', '2,226']
['255', 'Jughead with Archie Digest', '177', '$2.19', 'Archie', '2,226']
['256', 'How To Color Comics Gd Advanced\nConcepts', '', '$4.95', 'Antarctic', '2,170']
['257', 'Milk', '30', '$2.99', 'Radio', '2,159']
['258', 'Amelia Rules', '7', '$2.95', 'Renaissance', '2,063']
['259', 'Decoy', '1', '$2.95', 'Penny Farthing', '2,035']
['260', 'Neon Genesis Evangelion Part 7 Coll\nEd', '3', '$2.95', 'Viz', '1,995']
['261', 'Battle Girlz', '6', '$2.99', 'Antarctic', '1,956']
['262', 'Furry Ninja High School', '1', '$4.99', 'Shanda', '1,894']
['263', 'Halo & Sprocket', '2', '$2.95', 'Slave Labor', '1,877']
['264', 'Silent Mobius Part 11 Blood', '1', '$2.95', 'Viz', '1,826']
['265', 'My Monkeys Name Is Jennifer', '3', '$2.95', 'Slave Labor', '1,781']
['266', 'Tigers Of Luftwaffe', '10', '$5.95', 'Antarctic', '1,770']
['267', 'Bitch In Heat', '15', '$3.50', 'Fantagraphics', '1,747']
['268', 'Lori Lovecraft', '1', '$3.00', 'AV', '1,736']
['269', 'Futabakun Change Vol. 8', '6', '$2.95', 'Ironcat', '1,730']
['270', 'Pop Gun War', '4', '$2.50', 'Abstract', '1,702']
['271', 'Blowjob', '3', '$3.50', 'Fantagraphics', '1,674']
['272', 'Furrlough', '115', '$2.99', 'Radio', '1,635']
['273', 'Vagabond Part 1', '9', '$4.95', 'Viz', '1,618']
['274', 'Paper Museum Vol. 1', '1', '$2.95', 'Jungle Boy', '1,595']
['275', 'Strange Killings Body Orchard\nWrprnd Cvr', '1', '$3.95', 'Avatar', '1,522']
['276', 'Naughty Bits', '36', '$2.95', 'Fantagraphics', '1,488']
['277', 'Warrior Nun Areala', '9', '$2.99', 'Antarctic', '1,482']
['278', 'Lost Book Of Faerie Magic Vol. 1', '', '$2.95', 'Sirius', '1,471']
['279', 'Finder', '27', '$2.95', 'Lightspeed', '1,404']
['280', 'Ogenki Clinic Vol. 9', '4', '$2.95', 'Ironcat', '1,398']
['281', 'Zoids', '6', '$5.95', 'Viz', '1,387']
['282', 'Banzai Girl Ltd Ed Preview Book', '', '$5.00', 'Sirius', '1,381']
['283', 'Paradigm', '3', '$3.00', 'Two Irish Guys', '1,370']
['284', 'You & Me Vol. 1', '1', '$2.95', 'Ironcat', '1,325']
['285', 'Sandwalk Adventures', '4', '$2.95', 'Active Synapse', '1,313']
['286', 'Simpsons Comics', '50', '$5.95', 'Bongo', '1,313']
['287', 'Private Beach', '6', '$2.95', 'Slave Labor', '1,302']
['288', 'Eden Vol. 1', '1', '$3.50', 'Ironcat', '1,291']
['289', 'Shiver In Dark', '1', '$2.50', 'Singing Ink', '1,291']
['290', 'Barchetta Vol. 1', '1', '$2.95', 'Curtis', '1,263']
['291', 'Treasure Chests', '8', '$3.50', 'Fantagraphics', '1,263']
['292', 'Retro Blast', '1', '$2.95', 'Basement', '1,257']
['293', 'Tidalwave At Avatar Sampler', '', '$0.99', 'Avatar', '1,257']
['294', 'Vampire Yui Vol. 4', '6', '$2.95', 'Ironcat', '1,234']
['295', 'Ken Lashleys Legends', '1 Px Cvr', '$4.95', 'DHJ', '1,201']
['296', 'Dojin 2061 Cammy Vs Leona', '', '$4.95', 'Media Market', '1,167']
['297', 'Katmandu', '27 (Res)', '$4.99', 'Shanda', '1,167']
['298', 'Hit The Beach 2002', '', '$3.99', 'Radio', '1,161']
['299', 'Psi Vol. 1', '1', '$2.95', 'Curtis', '1,156']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', 'Trade Paperback title', '', 'Price', 'Publisher', 'Est. sales']
['1', 'Lone Wolf\n& Cub Vol. 24 In These Small Hands', '$9.95', 'Dark Horse', '13,990']
['2', 'Crisis On Multiple Earths', '', '$14.95', 'DC', '9,120']
['3', 'Ultimates Vol. 1', '', '$12.99', 'Marvel', '7,604']
['4', 'Liberty Meadows Vol. 1 Eden', '', '$14.95', 'Image', '7,288']
['5', 'Authority Earth Inferno &\nOther Stories', '', '$14.95', 'DC', '7,243']
['6', 'Amazing Spider-Man Revelations', '', '$8.99', 'Marvel', '7,068']
['7', 'Catwoman Selinas Bigore HC', '', '$24.95', 'DC', '5,648']
['8', 'G.I. Joe Vol. 3', '', '$24.99', 'Marvel', '5,406']
['9', 'Ultimate X-Men Vol. 1 HC', '', '$34.99', 'Marvel', '4,605']
['10', 'Astro Boy Vol. 6', '', '$9.95', 'Dark Horse', '4,453']
['11', 'Goddess (Res)', '', '$19.95', 'DC', '3,957']
['12', 'Ruse Vol. 1 Enter Detective', '', '$15.95', 'Crossgen', '3,686']
['13', 'Animal Man Vol. 2 Origin of the\nSpecies', '', '$19.95', 'DC', '3,591']
