['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', "Superman: The\nWedding Album Collector's Edition", '$4.95', 'DC', '227,686']
['128', 'Grifter', '5', '$2.50', 'Image', '30,188']
['129', 'Starman', '26', '$2.25', 'DC', '30,148']
['130', 'DC Universe Holiday Bash', '1', '$3.95', 'DC', '29,775']
['131', 'Books of Magic', '32', '$2.50', 'DC', '29,673']
['132', 'Dark Side', '1', '$2.99', 'Maximum', '29,666']
['133', 'Uncanny Origins', '5', '$0.99', 'Marvel', '29,650']
['134', 'Superboy and the Ravers', '5', '$1.95', 'DC', '29,185']
['135', 'Star Trek: First Contact Movie\nAdaptation', '', '$5.95', 'Marvel', '28,863']
['136', 'Legion of Super-Heroes', '88', '$2.25', 'DC', '28,684']
['137', 'Stormwatch', '42', '$2.50', 'Image', '28,345']
['138', 'X-O Manowar', '2', '$2.50', 'Acclaim', '27,504']
['139', 'Arcanum', '2', '$2.50', 'Top Cow', '27,328']
['140', 'Glory/Celestine: Dark Angel', '3', '$2.50', 'Maximum', '27,301']
['141', 'Marvel Holiday Special 1996', '', '$2.95', 'Marvel', '27,199']
['142', 'Batman & Robin Adventures', '14', '$1.75', 'DC', '26,284']
['143', 'Power of Shazam!', '22', '$1.75', 'DC', '26,210']
['144', 'Legionnaires', '44', '$2.25', 'DC', '26,169']
['145', 'Strangers in Paradise Vol. 3', '3', '$2.75', 'Image', '25,905']
['146', 'Predator: Strange Roux', '1', '$2.95', 'Dark Horse', '24,217']
['147', 'Hellblazer', '109', '$2.25', 'DC', '23,831']
['148', 'Glory', '17', '$2.50', 'Maximum', '23,783']
['149', "Superman: The\nWedding Album Collector's Edition", '$4.95', 'DC', '23,770']
['150', 'Barry Windsor-Smith: Storyteller', '2', '$4.95', 'Dark Horse', '23,682']
['151', 'Vampirella of Drakulon', '0', '$2.95', 'Harris', '22,916']
['152', 'Bloodhunter', '1', '$2.95', 'Image', '22,807']
['153', 'Allegra', '4', '$2.50', 'Image', '22,800']
['154', 'Official Marvel Timeline', '', '$5.95', 'Marvel', '22,660']
['155', 'Lobo', '35', '$2.25', 'DC', '22,495']
['156', 'Sovereign Seven', '18', '$1.95', 'DC', '22,421']
['157', 'Tempest', '3', '$1.75', 'DC', '22,346']
['158', 'New Gods', '14', '$1.95', 'DC', '22,150']
['159', 'Wildstorm Universe 97', '', '$2.25', 'Image', '22,129']
['160', 'Lobo: Death & Taxes', '4', '$2.25', 'DC', '21,818']
['161', 'Bloody Mary', '4', '$2.25', 'DC', '21,797']
['162', 'Simpsons Comics', '26', '$2.25', 'Bongo', '21,750']
['163', 'Adventures of the X-Men', '10', '$0.99', 'Marvel', '21,442']
['164', 'Prophet', '10', '$2.50', 'Maximum', '21,174']
['165', 'Steel', '34', '$1.95', 'DC', '21,153']
['166', 'Green Arrow', '116', '$2.25', 'DC', '21,120']
['167', 'Star Lord', '2', '$2.50', 'Marvel', '21,035']
['168', 'Evil Ernie', '2', '$1.95', 'Chaos', '20,869']
['169', 'Sandman Mystery Theatre', '46', '$2.50', 'DC', '20,754']
['170', 'Spectre', '49', '$2.25', 'DC', '20,726']
['171', 'Supreme', '44', '$2.50', 'Image', '20,442']
['172', 'Youngblood', '14', '$2.50', 'Maximum', '20,205']
['173', 'Ghost', '19', '$2.50', 'Dark Horse', '20,123']
['174', 'Black Lamb', '3', '$2.50', 'DC', '20,103']
['175', 'Leave it to Chance', '3', '$2.50', 'Image', '19,805']
['176', 'Terminal City', '7', '$2.50', 'DC', '19,439']
['177', 'Lady Rawhide', '2', '$2.95', 'Topps', '18,951']
['178', 'Essential Vertigo: The Sandman', '6', '$1.95', 'DC', '18,415']
['179', 'Showcase 96', '12', '$2.95', 'DC', '17,995']
['180', 'Night Force', '2', '$2.25', 'DC', '17,846']
